word1,word2,word3,interaction_info,abs_interaction_info
unus,magnus,ago,0.18915426763078236,0.18915426763078236
pars,nomen,ago,0.18911498442696462,0.18911498442696462
locus,dies,bonus,0.18910753427359642,0.18910753427359642
deus,unus,ago,0.18910092867307027,0.18910092867307027
tempus,uerbum,ago,0.18908859630131236,0.18908859630131236
uir,ago,totus,0.18894758258964334,0.18894758258964334
magnus,dies,tempus,0.18887035820981732,0.18887035820981732
dies,uir,manus,0.18867111526638586,0.18867111526638586
nomen,primus,terra,0.18849584456033738,0.18849584456033738
uenio,ago,totus,0.18847572822038253,0.18847572822038253
unus,uerbum,primus,0.18847474943806505,0.18847474943806505
tempus,terra,manus,0.18842287024306065,0.18842287024306065
unus,uir,ago,0.1884152783712399,0.1884152783712399
locus,ago,bonus,0.18836793148304784,0.18836793148304784
tempus,nomen,manus,0.18835537200770408,0.18835537200770408
locus,nomen,manus,0.18830039906140572,0.18830039906140572
primus,totus,manus,0.18814356965992352,0.18814356965992352
deus,uolo,ago,0.18809807294881215,0.18809807294881215
nomen,uenio,primus,0.18806563705505322,0.18806563705505322
homo,unus,credo,0.1879724983775875,0.1879724983775875
uolo,manus,uis,0.18797192524806094,0.18797192524806094
dies,totus,bonus,0.1879605298019853,0.1879605298019853
unus,dies,credo,0.1879587668780084,0.1879587668780084
ago,bonus,uis,0.18795599595241536,0.18795599595241536
dies,nomen,uir,0.18790426337901814,0.18790426337901814
ago,totus,uis,0.1878941847756823,0.1878941847756823
dies,animus,ago,0.1877354247765181,0.1877354247765181
deus,dies,terra,0.1877071723650865,0.1877071723650865
deus,dies,uenio,0.18765813722398883,0.18765813722398883
locus,primus,manus,0.18762305477077784,0.18762305477077784
magnus,uenio,ago,0.18761951265826515,0.18761951265826515
uolo,nomen,ago,0.18751854219153014,0.18751854219153014
unus,tempus,nomen,0.18751319058042906,0.18751319058042906
nomen,ago,terra,0.1875078109164472,0.1875078109164472
unus,uir,credo,0.18749298249505447,0.18749298249505447
primus,manus,credo,0.18738461615490581,0.18738461615490581
uolo,locus,tempus,0.18729379883790337,0.18729379883790337
locus,primus,terra,0.18728909396716317,0.18728909396716317
uolo,uenio,credo,0.1872204909881059,0.1872204909881059
dies,ago,uita,0.18714849359315433,0.18714849359315433
uolo,dies,uis,0.18713829550780892,0.18713829550780892
dies,uerbum,totus,0.18712030166167626,0.18712030166167626
uenio,primus,terra,0.1870353984155228,0.1870353984155228
locus,ago,credo,0.18698363759707562,0.18698363759707562
ago,manus,bonus,0.18697243792627605,0.18697243792627605
deus,ago,uis,0.18686478383641794,0.18686478383641794
locus,uenio,totus,0.1866693568723157,0.1866693568723157
locus,uir,totus,0.1866430934763384,0.1866430934763384
deus,magnus,ago,0.1864873519146153,0.1864873519146153
dies,nomen,credo,0.18647430324625625,0.18647430324625625
uenio,ago,terra,0.18640428796984268,0.18640428796984268
locus,uenio,uir,0.1863888966931825,0.1863888966931825
dies,nomen,uenio,0.18622390289552482,0.18622390289552482
unus,dies,uerbum,0.18620322640119757,0.18620322640119757
uolo,uerbum,bonus,0.18619079300497704,0.18619079300497704
unus,ago,manus,0.18610523559695985,0.18610523559695985
tempus,ago,credo,0.18599441739789146,0.18599441739789146
dies,primus,uita,0.18592584627108955,0.18592584627108955
unus,uenio,uir,0.1858582723394937,0.1858582723394937
homo,locus,ago,0.1858567881366982,0.1858567881366982
pars,dies,nomen,0.18580389669040653,0.18580389669040653
dies,tempus,uerbum,0.18574405069874017,0.18574405069874017
locus,nomen,uis,0.185601574805835,0.185601574805835
pars,primus,uis,0.1854435988272066,0.1854435988272066
uolo,locus,manus,0.18540008687842666,0.18540008687842666
